"[382.0, 18.0, 124, 285]","[0, 1, 0]"
"[506.0, -106.0, 345, 383]","[0, 1, 0]"
"[266.0, 134.0, 374, 264]","[1, 0, 0]"
"[326.0, 74.0, 237, 152]","[0, 0, 1]"
"[346.0, 54.0, 569, 131]","[1, 0, 0]"
"[310.0, 90.0, 31, 124]","[0, 0, 1]"
"[242.0, 158.0, 209, 145]","[0, 0, 1]"
"[350.0, 50.0, 88, 607]","[1, 0, 0]"
"[350.0, 50.0, 592, 369]","[0, 1, 0]"
"[394.0, 6.0, 241, 124]","[0, 0, 1]"
"[314.0, 86.0, 572, 446]","[1, 0, 0]"
"[382.0, 18.0, 195, 117]","[0, 0, 1]"
"[350.0, 50.0, 668, 201]","[1, 0, 0]"
"[374.0, 26.0, 87, 600]","[0, 1, 0]"
"[230.0, 170.0, 360, 439]","[1, 0, 0]"
"[318.0, 82.0, 113, 313]","[0, 1, 0]"
"[418.0, -18.0, 261, 446]","[0, 1, 0]"
"[398.0, 2.0, 229, 467]","[0, 1, 0]"
"[278.0, 122.0, 469, 355]","[0, 1, 0]"
"[390.0, 10.0, 279, 187]","[0, 0, 1]"
"[482.0, -82.0, 319, 250]","[0, 0, 1]"
"[414.0, -14.0, 205, 103]","[0, 1, 0]"
"[378.0, 22.0, 154, 460]","[1, 0, 0]"
"[414.0, -14.0, 211, 264]","[0, 1, 0]"
"[434.0, -34.0, 254, 201]","[0, 0, 1]"
"[418.0, -18.0, 633, 82]","[1, 0, 0]"
"[374.0, 26.0, 252, 138]","[0, 0, 1]"
"[350.0, 50.0, 592, 558]","[0, 1, 0]"
"[398.0, 2.0, 98, 271]","[1, 0, 0]"
"[434.0, -34.0, 211, 439]","[0, 1, 0]"
"[402.0, -2.0, 492, 89]","[1, 0, 0]"
"[410.0, -10.0, 46, 362]","[0, 1, 0]"
"[342.0, 58.0, 598, 376]","[0, 1, 0]"
"[374.0, 26.0, 161, 19]","[0, 1, 0]"
"[410.0, -10.0, 333, 103]","[0, 0, 1]"
"[346.0, 54.0, 325, 68]","[0, 0, 1]"
"[350.0, 50.0, 658, 425]","[0, 0, 1]"
"[402.0, -2.0, 642, 152]","[1, 0, 0]"
"[326.0, 74.0, 354, 68]","[1, 0, 0]"
"[374.0, 26.0, 99, 159]","[0, 0, 1]"
"[338.0, 62.0, 582, 348]","[1, 0, 0]"
"[350.0, 50.0, 182, 362]","[0, 0, 1]"
"[414.0, -14.0, 443, 124]","[1, 0, 0]"
"[526.0, -126.0, 384, 446]","[0, 1, 0]"
"[258.0, 142.0, 475, 481]","[0, 1, 0]"
"[274.0, 126.0, 466, 446]","[0, 1, 0]"
"[458.0, -58.0, 397, 68]","[0, 1, 0]"
"[370.0, 30.0, 109, 411]","[1, 0, 0]"
"[326.0, 74.0, 492, 208]","[1, 0, 0]"
"[406.0, -6.0, 254, 334]","[0, 0, 1]"
"[458.0, -58.0, 304, 509]","[0, 1, 0]"
"[290.0, 110.0, 443, 306]","[1, 0, 0]"
"[366.0, 34.0, 633, 523]","[0, 1, 0]"
"[290.0, 110.0, 433, 257]","[1, 0, 0]"
"[414.0, -14.0, 162, 600]","[0, 1, 0]"
"[410.0, -10.0, 148, 383]","[0, 1, 0]"
"[370.0, 30.0, 451, 103]","[1, 0, 0]"
"[366.0, 34.0, 633, 600]","[0, 1, 0]"
"[362.0, 38.0, 73, 285]","[0, 1, 0]"
"[526.0, -126.0, 384, 495]","[0, 1, 0]"
"[294.0, 106.0, 182, 264]","[0, 0, 1]"
"[346.0, 54.0, 188, 320]","[0, 0, 1]"
"[362.0, 38.0, 202, 110]","[0, 0, 1]"
"[434.0, -34.0, 140, 537]","[1, 0, 0]"
"[406.0, -6.0, 317, 187]","[0, 0, 1]"
"[386.0, 14.0, 173, 201]","[0, 0, 1]"
"[350.0, 50.0, 107, 551]","[0, 1, 0]"
"[434.0, -34.0, 211, 306]","[0, 1, 0]"
"[410.0, -10.0, 211, 145]","[0, 0, 1]"
"[374.0, 26.0, 32, 5]","[0, 1, 0]"
"[350.0, 50.0, 467, 145]","[1, 0, 0]"
"[286.0, 114.0, 674, 474]","[0, 1, 0]"
"[350.0, 50.0, 470, 250]","[1, 0, 0]"
"[274.0, 126.0, 139, 173]","[0, 0, 1]"
"[374.0, 26.0, 660, 320]","[0, 1, 0]"
"[374.0, 26.0, 87, 208]","[0, 1, 0]"
"[398.0, 2.0, 98, 579]","[0, 1, 0]"
"[374.0, 26.0, 517, 194]","[1, 0, 0]"
"[390.0, 10.0, 8, 565]","[0, 1, 0]"
"[330.0, 70.0, 339, 96]","[0, 0, 1]"
"[446.0, -46.0, 325, 173]","[0, 0, 1]"
"[250.0, 150.0, 92, 103]","[0, 0, 1]"
"[514.0, -114.0, 357, 320]","[0, 1, 0]"
"[442.0, -42.0, 230, 222]","[0, 0, 1]"
"[350.0, 50.0, 453, 145]","[1, 0, 0]"
"[290.0, 110.0, 209, 229]","[0, 0, 1]"
"[326.0, 74.0, 154, 376]","[0, 0, 1]"
"[302.0, 98.0, 213, 103]","[0, 0, 1]"
"[370.0, 30.0, 590, 502]","[0, 1, 0]"
"[294.0, 106.0, 11, 299]","[0, 0, 1]"
"[390.0, 10.0, 8, 418]","[0, 1, 0]"
"[374.0, 26.0, 660, 558]","[0, 1, 0]"
"[366.0, 34.0, 566, 355]","[0, 1, 0]"
"[406.0, -6.0, 690, 334]","[1, 0, 0]"
"[562.0, -162.0, 656, 96]","[1, 0, 0]"
"[314.0, 86.0, 124, 243]","[0, 0, 1]"
"[466.0, -66.0, 321, 306]","[0, 0, 1]"
"[330.0, 70.0, 607, 544]","[1, 0, 0]"
"[382.0, 18.0, 139, 481]","[0, 0, 1]"
"[322.0, 78.0, 238, 159]","[0, 0, 1]"
"[314.0, 86.0, 128, 124]","[0, 0, 1]"
"[386.0, 14.0, 167, 467]","[0, 1, 0]"
"[314.0, 86.0, 11, 334]","[0, 0, 1]"
"[370.0, 30.0, 60, 600]","[0, 1, 0]"
"[342.0, 58.0, 103, 159]","[0, 0, 1]"
"[278.0, 122.0, 469, 565]","[0, 1, 0]"
"[410.0, -10.0, 656, 362]","[1, 0, 0]"
"[410.0, -10.0, 258, 411]","[0, 1, 0]"
"[270.0, 130.0, 357, 138]","[1, 0, 0]"
"[350.0, 50.0, 592, 607]","[0, 1, 0]"
"[390.0, 10.0, 186, 516]","[0, 1, 0]"
"[470.0, -70.0, 446, 68]","[1, 0, 0]"
"[274.0, 126.0, 466, 572]","[0, 1, 0]"
"[342.0, 58.0, 453, 159]","[1, 0, 0]"
"[410.0, -10.0, 630, 138]","[1, 0, 0]"
"[310.0, 90.0, 698, 285]","[0, 0, 1]"
"[350.0, 50.0, 523, 369]","[1, 0, 0]"
"[350.0, 50.0, 213, 187]","[0, 0, 1]"
